pulse_num,fall_edge_arrivals
0,9.99998925851e-09
1,1.000012827663e-08
2,9.99934586358e-09
3,1.000016674994e-08
4,9.99957137777e-09
5,1.000052586476e-08
6,1.000012175728e-08
7,1.000005601292e-08
8,9.99980745147e-09
9,9.9998924784e-09
10,1.000029089293e-08
11,9.99900658225e-09
12,1.000132912134e-08
13,9.99919252128e-09
14,1.000028455723e-08
15,9.99911529919e-09
16,1.000040126266e-08
17,1.000083071294e-08
18,9.99941472989e-09
19,1.000063531627e-08
20,9.99976962091e-09
21,9.9996318883e-09
22,1.000054450457e-08
23,9.99975134838e-09
24,1.000038271467e-08
25,9.99958276367e-09
26,1.000032064317e-08
27,1.000012037996e-08
28,9.99986989025e-09
29,9.99971452787e-09
30,1.000021569092e-08
31,9.99926689689e-09
32,1.000002323256e-08
33,1.00001767585e-08
34,1.00008774502e-08
35,9.99945797793e-09
36,9.99983417159e-09
37,9.99996272203e-09
38,1.000010954499e-08
39,9.999532629e-09
40,1.000093116592e-08
41,9.99973215764e-09
42,1.000025829621e-08
43,9.99952583419e-09
44,9.99971673159e-09
45,1.000031880674e-08
46,1.000027785424e-08
47,9.99961591132e-09
48,9.99994536772e-09
49,1.000035746369e-08
50,9.99961352395e-09
51,1.000032183685e-08
52,1.000014094803e-08
53,9.99958156999e-09
54,1.000001864147e-08
55,9.99982168384e-09
56,1.000018465517e-08
57,1.000018226781e-08
58,1.000021311991e-08
59,1.000046663974e-08
60,9.99955227885e-09
61,9.99967577909e-09
62,1.000041815786e-08
63,9.99935835134e-09
64,1.000023726903e-08
65,1.000001349945e-08
66,1.000020641693e-08
67,9.99962839907e-09
68,1.000033019263e-08
69,1.000014204989e-08
70,9.99968275754e-09
71,9.99966237312e-09
72,1.000028593455e-08
73,9.99973417772e-09
74,1.000027757877e-08
75,1.000012671566e-08
76,9.99959690422e-09
77,1.000065074233e-08
78,9.99926900879e-09
79,1.000078186377e-08
80,9.99983600803e-09
81,9.99988632634e-09
82,1.000011597251e-08
83,1.000045699845e-08
84,9.99921465032e-09
85,1.000049455355e-08
86,1.00001091777e-08
87,9.99998778936e-09
88,9.99942629943e-09
89,1.000019751022e-08
90,9.99992167771e-09
91,9.99995381532e-09
92,1.00002042132e-08
93,9.99994123574e-09
94,9.99963335745e-09
95,1.000067562602e-08
96,9.99987650142e-09
97,9.99980882879e-09
98,9.99996722129e-09
99,1.000021780282e-08
100,9.99970305015e-09
101,1.000011955356e-08
102,9.99973206582e-09
103,1.000015756776e-08
104,9.99981516449e-09
105,1.000026821296e-08
106,9.99969855088e-09
107,9.99996474211e-09
108,1.000038758122e-08
109,9.99989302933e-09
110,1.000014755919e-08
111,9.9995651339e-09
112,1.000065312969e-08
113,9.99979184177e-09
114,9.99978330235e-09
115,9.99998127002e-09
116,9.99938406143e-09
117,1.000040961844e-08
118,1.00003803273e-08
119,9.99976291792e-09
120,9.99983160058e-09
121,1.000050694948e-08
122,9.99950269511e-09
123,1.000092694212e-08
124,9.99916543386e-09
125,1.000037298156e-08
126,9.99987016572e-09
127,9.99970360108e-09
128,1.000040677196e-08
129,1.000035819826e-08
130,9.99906204258e-09
131,1.000071125285e-08
132,9.99994013388e-09
133,9.9998819189e-09
134,9.99992222864e-09
135,9.99986383002e-09
136,1.000021403813e-08
137,1.000028676095e-08
138,9.99961673771e-09
139,1.000025701071e-08
140,9.9995093981e-09
141,1.000055258489e-08
142,9.99913292897e-09
143,1.000072686255e-08
144,9.99970479476e-09
145,1.000017584029e-08
146,1.000048280036e-08
147,9.99991828031e-09
148,9.9992960962e-09
149,1.000007015346e-08
150,1.000027840517e-08
151,9.99957156142e-09
152,1.000042715639e-08
153,1.000027087579e-08
154,1.000003030283e-08
155,9.99978192502e-09
156,1.000000817379e-08
157,9.99985740249e-09
158,1.000001083662e-08
159,1.000020182584e-08
160,9.99961692136e-09
161,9.99979542282e-09
162,1.000035397446e-08
163,1.000059500653e-08
164,9.99930638023e-09
165,9.99995574358e-09
166,1.000022165934e-08
167,9.99974583908e-09
168,1.000010633123e-08
169,1.00001894299e-08
170,9.99953014981e-09
171,1.00008795621e-08
172,9.99938424507e-09
173,1.000014287628e-08
174,1.000027904792e-08
175,9.99965732292e-09
176,1.000025967354e-08
177,1.00000627159e-08
178,9.99967036161e-09
179,1.000027216129e-08
180,9.9999283807e-09
181,9.99999440053e-09
182,1.000006464416e-08
183,9.99963602028e-09
184,9.99979992208e-09
185,1.000041678053e-08
186,1.000011459519e-08
187,1.000006400141e-08
188,9.99979771836e-09
189,9.99980543139e-09
190,1.000007722374e-08
191,9.99992525876e-09
192,1.000030025874e-08
193,9.99968643041e-09
194,1.000042632999e-08
195,1.000008135572e-08
196,9.9999951351e-09
197,9.99959414957e-09
198,9.99978275142e-09
199,1.000027234494e-08
200,1.000009880185e-08
201,1.00009830452e-08
202,9.99875306243e-09
203,1.000072631162e-08
204,9.9998945903e-09
205,9.99987741963e-09
206,9.99983242698e-09
207,9.9998101143e-09
208,9.9997522666e-09
209,1.000012120635e-08
210,9.9998523523e-09
211,1.000069435765e-08
212,9.99995758001e-09
213,9.99947147572e-09
214,1.00008259382e-08
215,9.99938103131e-09
216,9.99995197889e-09
217,1.000029649405e-08
218,9.99998264735e-09
219,1.00001324086e-08
220,9.99939618189e-09
221,1.000004967722e-08
222,1.000026738656e-08
223,1.000000174627e-08
224,1.000022964783e-08
225,1.000034148671e-08
226,9.99955723723e-09
227,1.00000529828e-08
228,9.99970378472e-09
229,1.000042642182e-08
230,9.99983049872e-09
231,9.99946192626e-09
232,1.000046599698e-08
233,9.99966154672e-09
234,1.000044074601e-08
235,9.99961572767e-09
236,1.000028262897e-08
237,9.99987696052e-09
238,1.000010128103e-08
239,9.99988669363e-09
240,1.000007097986e-08
241,1.000021679278e-08
242,9.99945256044e-09
243,1.000023680992e-08
244,1.000089746734e-08
245,9.99908573259e-09
246,9.99964924261e-09
247,1.000093134956e-08
248,9.99966411773e-09
249,9.99999743065e-09
250,1.000005059543e-08
251,9.99950471519e-09
252,9.99986392184e-09
253,1.000043927686e-08
254,9.99989192747e-09
255,1.000022771957e-08
256,1.000029575948e-08
257,9.9996622813e-09
258,9.99989550852e-09
259,1.000025820439e-08
260,9.99953373086e-09
261,1.00001670254e-08
262,9.9999685068e-09
263,9.99973941156e-09
264,1.00001078922e-08
265,1.000034773058e-08
266,1.000037812358e-08
267,9.99959332317e-09
268,1.000037013509e-08
269,1.000021449724e-08
270,9.99971590519e-09
271,9.99972113903e-09
272,9.99988981557e-09
273,9.99960489271e-09
274,1.000074421686e-08
275,9.99993958295e-09
276,9.9994016912e-09
277,9.99976521347e-09
278,1.0000459294e-08
279,1.000035718822e-08
280,9.99930913489e-09
281,1.000001781507e-08
282,1.000062558317e-08
283,1.000030613534e-08
284,9.99907967236e-09
285,1.000047315908e-08
286,9.99991111821e-09
287,1.000011992085e-08
288,9.99998916669e-09
289,9.99981580725e-09
290,9.99988412262e-09
291,9.99987705235e-09
292,1.000055129938e-08
293,9.99944273552e-09
294,1.000056892916e-08
295,9.99999219681e-09
296,9.99988807095e-09
297,9.99966981068e-09
298,1.000014214171e-08
299,9.99985437238e-09
300,1.000064826314e-08
301,1.000012377736e-08
302,9.99969065421e-09
303,9.99998099456e-09
304,9.99976548893e-09
305,1.000047600555e-08
306,1.000015619043e-08
307,9.99939654918e-09
308,9.99990790445e-09
309,1.000030393161e-08
310,9.99986511552e-09
311,1.000023130062e-08
312,9.99994013388e-09
313,9.99982030651e-09
314,1.000053972984e-08
315,9.99945917161e-09
316,1.00001353469e-08
317,9.99996786405e-09
318,1.00000643687e-08
319,9.99964556974e-09
320,9.99999761429e-09
321,9.99974345171e-09
322,1.000046131408e-08
323,1.000037068602e-08
324,9.99921547671e-09
325,1.000010357658e-08
326,1.00001796968e-08
327,1.000011477883e-08
328,1.000012809298e-08
329,9.99961187116e-09
330,1.000030393161e-08
331,9.99968220661e-09
332,1.000071051828e-08
333,9.99893046203e-09
334,1.000071428297e-08
335,1.00000965063e-08
336,9.99929995271e-09
337,1.00006945413e-08
338,9.99952739516e-09
339,1.000008190665e-08
340,9.99998044363e-09
341,1.000013571419e-08
342,1.000048748327e-08
343,9.99959965887e-09
344,9.99995555993e-09
345,1.000005573745e-08
346,9.99965071176e-09
