pulse_num,rise_edge_arrivals
0,1.000060026465e-08
1,9.99947737659e-09
2,1.000065214393e-08
3,9.99966065278e-09
4,9.99975917751e-09
5,1.000018238391e-08
6,9.99968195543e-09
7,9.9996518379e-09
8,1.000036804747e-08
9,9.99992500757e-09
10,1.000040753081e-08
11,9.99983998064e-09
12,1.000043755652e-08
13,9.99932164692e-09
14,1.000068979084e-08
15,9.99928005167e-09
16,1.000044031117e-08
17,1.00001798129e-08
18,9.99955900612e-09
19,1.000011884326e-08
20,9.99905316015e-09
21,1.000101842085e-08
22,1.000014363513e-08
23,9.99933597111e-09
24,1.000031479086e-08
25,9.9997177659e-09
26,1.000116111183e-08
27,9.99929455951e-09
28,1.000006255654e-08
29,1.000079446763e-08
30,9.99878127598e-09
31,9.99981968804e-09
32,1.000074433296e-08
33,1.000037686235e-08
34,9.99911385432e-09
35,1.000056509692e-08
36,9.99936351763e-09
37,1.000005750634e-08
38,1.000011342578e-08
39,1.00003783315e-08
40,1.000003776467e-08
41,1.000007531976e-08
42,1.000000278058e-08
43,9.99942108986e-09
44,1.000047042871e-08
45,1.000028421422e-08
46,9.99941952889e-09
47,1.000052818458e-08
48,9.99941815157e-09
49,1.0000295141e-08
50,1.000008156364e-08
51,9.99965505166e-09
52,1.000022994757e-08
53,1.000037851514e-08
54,1.000040495981e-08
55,9.9989152439e-09
56,9.99976679871e-09
57,1.000075158687e-08
58,9.99967442604e-09
59,9.99988093314e-09
60,1.000020157465e-08
61,9.99962401591e-09
62,9.99998781364e-09
63,1.000022186726e-08
64,1.000012132245e-08
65,9.99975633104e-09
66,1.000030423136e-08
67,1.000026015692e-08
68,9.99962576052e-09
69,1.00000868893e-08
70,1.000023986432e-08
71,9.99966809034e-09
72,1.000004547769e-08
73,9.99959197012e-09
74,1.000038797278e-08
75,1.000005603719e-08
76,1.000022241819e-08
77,9.99950161753e-09
78,1.000038521813e-08
79,1.000055077273e-08
80,9.9987940392e-09
81,1.000046409301e-08
82,9.99988818705e-09
83,9.99992307931e-09
84,1.000030716965e-08
85,1.000052506264e-08
86,9.99932293242e-09
87,9.99987670934e-09
88,1.000054553889e-08
89,9.99998248798e-09
90,9.99988065767e-09
91,1.000013133102e-08
92,1.000037805604e-08
93,9.99985008103e-09
94,9.99975063809e-09
95,1.000011370125e-08
96,1.000041652934e-08
97,9.99933872576e-09
98,9.99936443585e-09
99,1.000088482022e-08
100,1.000000810625e-08
101,1.000000149508e-08
102,9.99953715254e-09
103,9.99987524019e-09
104,9.99970362536e-09
105,1.000037135305e-08
106,1.000038035158e-08
107,9.99974567971e-09
108,9.99998423259e-09
109,1.000045289075e-08
110,9.99952806219e-09
111,9.99981775978e-09
112,9.99995585968e-09
113,1.000087894363e-08
114,9.99904186608e-09
115,1.000017494635e-08
116,1.000000085233e-08
117,9.99998019244e-09
118,1.000026043239e-08
119,9.99963439176e-09
120,1.000080438437e-08
121,9.99957470763e-09
122,9.99995622696e-09
123,1.000054709986e-08
124,9.99921798018e-09
125,1.000039871593e-08
126,9.99907189179e-09
127,1.000087481165e-08
128,9.99993786261e-09
129,9.99972713172e-09
130,1.000007164689e-08
131,1.000012894366e-08
132,1.00000881748e-08
133,9.9992455267e-09
134,1.000026943092e-08
135,1.000037879061e-08
136,1.000013665668e-08
137,9.99982372819e-09
138,1.000046097107e-08
139,1.000015878572e-08
140,9.99932899266e-09
141,9.99968920934e-09
142,1.000013638122e-08
143,1.00003551006e-08
144,1.000013895222e-08
145,1.000002591966e-08
146,9.99983924607e-09
147,1.000015593925e-08
148,9.99945093193e-09
149,1.000042580334e-08
150,9.99950409672e-09
151,1.000012086334e-08
152,1.000071045073e-08
153,9.9990039437e-09
154,1.000078748917e-08
155,9.99983952153e-09
156,9.99976092212e-09
157,9.99989130899e-09
158,1.000015520467e-08
159,9.99990085845e-09
160,1.000038852371e-08
161,1.000015263366e-08
162,9.99909695912e-09
163,1.000044233125e-08
164,9.99979948725e-09
165,1.000064397179e-08
166,1.000005089518e-08
167,9.99956469906e-09
168,1.00003614363e-08
169,9.9997595448e-09
170,9.99995429871e-09
171,1.000059117429e-08
172,9.99942806832e-09
173,1.000023435501e-08
174,9.99955055852e-09
175,1.000013215742e-08
