pulse_num,slewrates_r
0,3669144270.0
1,3763867580.0
2,3803167290.0
3,3767118070.0
4,3702126640.0
5,3793140350.0
6,3793213810.0
7,3646647940.0
8,3860482420.0
9,3736504700.0
10,3663451320.0
11,3735200830.0
12,3781772820.0
13,3755732170.0
14,3661284320.0
15,3724806610.0
16,3601416540.0
17,3673478250.0
18,3815636680.0
19,3874769890.0
20,3657317620.0
21,3763904310.0
22,3655683200.0
23,3696305140.0
24,3759588690.0
25,3734356070.0
26,3784307100.0
27,3887882030.0
28,3731252500.0
29,3620386920.0
30,3713163610.0
31,3628191770.0
32,3711804650.0
33,3688775760.0
34,3615336720.0
35,3706809550.0
36,3739828650.0
37,3788402350.0
38,3818464790.0
39,3842062980.0
40,3757678800.0
41,3622719190.0
42,3712006660.0
43,3758376640.0
44,3776373700.0
45,3715495880.0
46,3654838440.0
47,3593244410.0
48,3674139370.0
49,3743905530.0
50,3777200100.0
51,3733144020.0
52,3772462100.0
53,3780211850.0
54,3869113670.0
55,3694835990.0
56,3779201810.0
57,3830089430.0
58,3671109250.0
59,3777530660.0
60,3673459890.0
61,3770625660.0
62,3802451080.0
63,3698251760.0
64,3716983400.0
65,3782948140.0
66,3659631530.0
67,3751894030.0
68,3826581840.0
69,3745374680.0
70,3634196910.0
71,3718103620.0
72,3817840400.0
73,3715495880.0
74,3784086730.0
75,3571427560.0
76,3798264010.0
77,3651973600.0
78,3698049750.0
79,3816132520.0
80,3584888630.0
81,3733364400.0
82,3640348970.0
83,3721299020.0
84,3868434190.0
85,3699500540.0
86,3650926830.0
87,3576092110.0
88,3762949360.0
89,3787722870.0
90,3760121250.0
91,3673772080.0
92,3802083790.0
93,3779458910.0
94,3806527970.0
95,3809154070.0
96,3730554650.0
97,3822523310.0
98,3777255190.0
99,3755695450.0
100,3846874440.0
101,3617485350.0
102,3736578160.0
103,3682384960.0
104,3847994670.0
105,3784821300.0
106,3816242710.0
107,3716487560.0
108,3739681730.0
109,3744272820.0
110,3771231690.0
111,3613555380.0
112,3791267190.0
113,3792240500.0
114,3692228250.0
115,3662716740.0
116,3781478990.0
117,3831668760.0
118,3763371740.0
119,3740214300.0
120,3893170970.0
121,3789559310.0
122,3836406760.0
123,3648466010.0
124,3733529680.0
125,3660953770.0
126,3657666550.0
127,3666426340.0
128,3683413370.0
129,3775180020.0
130,3752665330.0
131,3767815920.0
132,3727653080.0
133,3764840890.0
134,3749525020.0
135,3618477030.0
136,3751398190.0
137,3748533350.0
138,3752500050.0
139,3781717730.0
140,3522156010.0
141,3651679770.0
142,3792883250.0
143,3722786530.0
144,3826508380.0
145,3608174630.0
146,3721299020.0
147,3720931730.0
148,3648484370.0
149,3821494910.0
150,3759368320.0
151,3632801220.0
152,3560629320.0
153,3819529920.0
154,3807556370.0
155,3637631040.0
156,3767301710.0
157,3732244170.0
158,3572217230.0
159,3661578150.0
160,3845148190.0
161,3748735360.0
162,3729452790.0
163,3636382270.0
164,3836884240.0
165,3768568850.0
166,3686112920.0
167,3747302940.0
168,3797235600.0
169,3728259110.0
170,3559876390.0
171,3882721650.0
172,3880866850.0
173,3848453780.0
174,3747211120.0
175,3690410180.0
176,3786253720.0
177,3831081100.0
178,3653442750.0
179,3744713560.0
180,3747376400.0
181,3697902840.0
182,3688812480.0
183,3664296080.0
184,3827224590.0
185,3789871500.0
186,3643250530.0
187,3741867090.0
188,3815655050.0
189,3690832560.0
190,3671201070.0
191,3721996860.0
192,3642938340.0
193,3641469190.0
194,3684203030.0
195,3756687120.0
196,3705909690.0
197,3695423650.0
198,3629183440.0
199,3858113420.0
200,3716707930.0
201,3733603130.0
202,3737551470.0
203,3803424390.0
204,3693256660.0
205,3832146230.0
206,3771525510.0
207,3745962340.0
208,3774078160.0
209,3857103380.0
210,3604630310.0
211,3786878110.0
212,3705726050.0
213,3673055870.0
214,3814608280.0
215,3742160920.0
216,3752995890.0
217,3729103870.0
218,3563347250.0
219,3679134470.0
220,3691971150.0
221,3877028700.0
222,3862355590.0
223,3759588690.0
224,3690612190.0
225,3715697890.0
226,3609753960.0
227,3738432960.0
228,3700639130.0
229,3760819100.0
230,3681540200.0
231,3652689810.0
232,3612251510.0
233,3736008860.0
234,3612416790.0
235,3516867080.0
236,3808235850.0
237,3620368550.0
238,3790606070.0
239,3747872230.0
240,3712612680.0
241,3766658960.0
242,3752022580.0
243,3748331340.0
244,3757642070.0
245,3778228500.0
246,3704826200.0
247,3686333300.0
248,3840208180.0
249,3709178550.0
250,3806803430.0
251,3790899900.0
252,3772480460.0
253,3784031640.0
254,3829152840.0
255,3794297310.0
256,3717479230.0
257,3818226060.0
258,3690373450.0
259,3771176590.0
260,3766034570.0
261,3683064440.0
262,3783131780.0
263,3764932710.0
264,3674084280.0
265,3713420710.0
266,3690171450.0
267,3839638890.0
268,3813690060.0
269,3675957440.0
270,3883841880.0
271,3882170720.0
272,3649622960.0
273,3675920710.0
274,3710684420.0
275,3741793630.0
276,3750920710.0
277,3772113170.0
278,3682384960.0
279,3712208670.0
280,3604593580.0
281,3746605090.0
282,3713806360.0
283,3568746370.0
284,3657464540.0
285,3678969190.0
286,3775180020.0
287,3769266700.0
288,3792846520.0
289,3824543390.0
290,3649476050.0
291,3706423900.0
292,3623343580.0
293,3729948630.0
294,3720233890.0
295,3689859250.0
296,3637502490.0
297,3582593090.0
298,3670852150.0
299,3756448380.0
300,3827500050.0
301,3725118800.0
302,3864063470.0
303,3815177570.0
304,3711088440.0
305,3778099950.0
306,3692632270.0
307,3698361950.0
308,3807978750.0
309,3723557830.0
310,3712686140.0
311,3770093100.0
312,3781993190.0
313,3790955000.0
314,3676379820.0
315,3792883250.0
316,3694009600.0
317,3649916790.0
318,3799898440.0
319,3857801230.0
320,3729030410.0
321,3742748580.0
322,3741885450.0
323,3714081830.0
324,3706185160.0
325,3733805140.0
326,3821476550.0
327,3778283600.0
328,3770111460.0
329,3755860720.0
330,3570527710.0
331,3766640600.0
332,3634545830.0
333,3825737070.0
334,3819364650.0
335,3771103130.0
336,3649329130.0
337,3631625900.0
338,3654085500.0
339,3665251020.0
340,3701006410.0
341,3751030900.0
342,3689602150.0
343,3673000780.0
344,3697278450.0
345,3799843340.0
346,3713990010.0
347,3692081340.0
348,3743942260.0
349,3732207440.0
350,3707231930.0
351,3717681240.0
352,3925437130.0
353,3802653090.0
354,3769964550.0
355,3797143780.0
356,3770974580.0
357,3668630060.0
358,3751251270.0
359,3743997350.0
360,3759955970.0
361,3798025270.0
362,3802193980.0
363,3790514250.0
364,3670723600.0
365,3720527720.0
366,3711198630.0
367,3718103620.0
368,3785500780.0
369,3770111460.0
370,3675902350.0
371,3718562730.0
372,3690391820.0
373,3672321300.0
374,3892399660.0
375,3655003720.0
376,3591738530.0
377,3858039970.0
378,3840079630.0
379,3666720170.0
380,3879250790.0
381,3817858770.0
382,3594236080.0
383,3745154310.0
384,3702879580.0
385,3731307590.0
386,3873208920.0
387,3811963810.0
388,3765869300.0
389,3782121740.0
390,3724053670.0
391,3839345060.0
392,3842779190.0
393,3611608760.0
394,3933994920.0
395,3655169000.0
396,3850088200.0
397,3743024040.0
398,3797951810.0
399,3688426830.0
400,3737110720.0
401,3713898190.0
402,3760121250.0
403,3576551220.0
404,3930524050.0
405,3627255180.0
406,3757715520.0
407,3612012770.0
408,3594456460.0
409,3775455490.0
410,3844615630.0
411,3744162630.0
412,3736265960.0
413,3774555630.0
414,3700969680.0
415,3872988550.0
416,3944334040.0
417,3698784330.0
418,3851851180.0
419,3708719440.0
420,3604465030.0
421,3746807100.0
422,3760910920.0
423,3569058560.0
424,3630064930.0
425,3680511800.0
426,3652946910.0
427,3664296080.0
428,3739589910.0
429,3643764730.0
430,3747578400.0
431,3690667280.0
432,3741169240.0
433,3813726790.0
434,3600094310.0
435,3809851910.0
436,3793158720.0
437,3738561510.0
438,3619964540.0
439,3759643780.0
440,3723208910.0
441,3626612430.0
442,3805995400.0
443,3743556610.0
444,3714173650.0
445,3635335500.0
446,3729930260.0
447,3812716750.0
448,3648392550.0
449,3768183200.0
450,3735053920.0
451,3719132030.0
452,3891297800.0
453,3709454010.0
454,3811688350.0
455,3801973610.0
456,3853944720.0
457,3659007140.0
458,3665985600.0
459,3778577430.0
460,3633517430.0
461,3668207680.0
462,3649072030.0
463,3912637180.0
464,3578828390.0
465,3599176090.0
466,3755144520.0
467,3642497590.0
468,3758321550.0
469,3783333790.0
470,3716616110.0
471,3857599220.0
472,3811155780.0
473,3835672190.0
474,3687875900.0
475,3828822290.0
476,3891683450.0
477,3855138400.0
478,3906062740.0
479,3689124680.0
480,3750112680.0
481,3673661900.0
482,3686535300.0
483,3726973600.0
484,3633682710.0
485,3821090890.0
486,3729893530.0
487,3689032860.0
488,3696966260.0
489,3781074980.0
490,3728020370.0
491,3615042890.0
492,3805352650.0
493,3836278210.0
494,3665985600.0
495,3541218210.0
496,3573814930.0
497,3738286040.0
498,3711327180.0
499,3742656760.0
500,3736982170.0
501,3869444230.0
502,3647970170.0
503,3656619780.0
504,3781662640.0
505,3884888650.0
506,3884705000.0
507,3806142310.0
508,3741922180.0
509,3878277480.0
510,3815471400.0
511,3751398190.0
512,3809300980.0
513,3767797550.0
514,3711308810.0
515,3739461360.0
516,3849831100.0
517,3760764010.0
518,3808548040.0
519,3742289470.0
520,3800798290.0
