Time (s),Voltage(V)
-4.9123699884e-08,-0.27184
-4.9115887384000006e-08,-0.27115
-4.910807488400001e-08,-0.27104
-4.910026238400001e-08,-0.27159
-4.9092449884000014e-08,-0.27246
-4.908463738400002e-08,-0.27294
-4.907682488400002e-08,-0.27307
-4.906901238400002e-08,-0.27271
-4.9061199884000025e-08,-0.27226
-4.905338738400003e-08,-0.27195
-4.904557488400003e-08,-0.27176
-4.903776238400003e-08,-0.27178
-4.9029949884000036e-08,-0.27212
-4.902213738400004e-08,-0.27274
-4.901432488400004e-08,-0.27384
-4.9006512384000044e-08,-0.27478
-4.899869988400005e-08,-0.27513
-4.899088738400005e-08,-0.27462
-4.898307488400005e-08,-0.27342
-4.8975262384000055e-08,-0.27227
-4.896744988400006e-08,-0.27192
-4.895963738400006e-08,-0.27244
-4.895182488400006e-08,-0.27361
-4.8944012384000066e-08,-0.27439
-4.893619988400007e-08,-0.27424
-4.892838738400007e-08,-0.27332
-4.8920574884000074e-08,-0.27235
-4.891276238400008e-08,-0.27221
-4.890494988400008e-08,-0.27317
-4.889713738400008e-08,-0.27466
-4.8889324884000085e-08,-0.27592
-4.888151238400009e-08,-0.27606
-4.887369988400009e-08,-0.27506
-4.886588738400009e-08,-0.27358
-4.8858074884000096e-08,-0.27247
-4.88502623840001e-08,-0.27235
-4.88424498840001e-08,-0.27314
-4.8834637384000104e-08,-0.27428
-4.8826824884000107e-08,-0.27526
-4.881901238400011e-08,-0.27557
-4.881119988400011e-08,-0.27518
-4.8803387384000115e-08,-0.27439
-4.879557488400012e-08,-0.27356
-4.878776238400012e-08,-0.27315
-4.877994988400012e-08,-0.27325
-4.8772137384000126e-08,-0.27381
-4.876432488400013e-08,-0.27458
-4.875651238400013e-08,-0.27506
-4.8748699884000134e-08,-0.27499
-4.8740887384000137e-08,-0.27442
-4.873307488400014e-08,-0.27377
-4.872526238400014e-08,-0.27363
-4.8717449884000145e-08,-0.27409
-4.870963738400015e-08,-0.27485
-4.870182488400015e-08,-0.27527
-4.869401238400015e-08,-0.27466
-4.8686199884000156e-08,-0.27311
-4.867838738400016e-08,-0.27128
-4.867057488400016e-08,-0.27015
-4.8662762384000164e-08,-0.27039
-4.8654949884000167e-08,-0.27173
-4.864713738400017e-08,-0.27339
-4.863932488400017e-08,-0.27454
-4.8631512384000175e-08,-0.27463
-4.862369988400018e-08,-0.27401
-4.861588738400018e-08,-0.27325
-4.860807488400018e-08,-0.27293
-4.8600262384000186e-08,-0.2732
-4.859244988400019e-08,-0.27367
-4.858463738400019e-08,-0.27406
-4.8576824884000194e-08,-0.27422
-4.8569012384000196e-08,-0.27409
-4.85611998840002e-08,-0.27389
-4.85533873840002e-08,-0.27358
-4.8545574884000205e-08,-0.27326
-4.853776238400021e-08,-0.27306
